Topic管控,Group管控,是否填写Group,策略
不开,-,-,匿名用户：放行实名用户：放行
开,不开,-,匿名用户：拦截（治理过渡期间放行）实名用户：授权到Topic和所有Group
开,开,是,匿名用户：拦截（治理过渡期间放行）实名用户：授权到Topic和单个Group
开,开,否,匿名用户：拦截（治理过渡期间放行）实名用户：拦截
